# SIH26006 - DEMO DATA - NOT REAL MARKET DATA
# Fabricated bunker prices for UI testing only. DO NOT use for analysis,
# benchmarking, or any real decision. Replace with validated bunker data later.
week_start,port,fuel_grade,price_usd_per_mt,source
2026-06-01,Singapore,VLSFO,512.00,SYNTHETIC_DEMO
2026-06-01,Fujairah,VLSFO,498.00,SYNTHETIC_DEMO
2026-06-01,Rotterdam,VLSFO,505.00,SYNTHETIC_DEMO
2026-06-08,Singapore,VLSFO,519.50,SYNTHETIC_DEMO
2026-06-08,Fujairah,VLSFO,503.25,SYNTHETIC_DEMO
2026-06-08,Rotterdam,VLSFO,509.75,SYNTHETIC_DEMO
2026-06-15,Singapore,VLSFO,507.00,SYNTHETIC_DEMO
2026-06-15,Fujairah,VLSFO,491.50,SYNTHETIC_DEMO
2026-06-15,Rotterdam,VLSFO,500.25,SYNTHETIC_DEMO
2026-06-22,Singapore,VLSFO,524.75,SYNTHETIC_DEMO
2026-06-22,Fujairah,VLSFO,510.00,SYNTHETIC_DEMO
2026-06-22,Rotterdam,VLSFO,515.50,SYNTHETIC_DEMO
2026-06-29,Singapore,VLSFO,531.00,SYNTHETIC_DEMO
2026-06-29,Fujairah,VLSFO,516.25,SYNTHETIC_DEMO
2026-06-29,Rotterdam,VLSFO,521.00,SYNTHETIC_DEMO
2026-07-06,Singapore,VLSFO,522.50,SYNTHETIC_DEMO
2026-07-06,Fujairah,VLSFO,508.75,SYNTHETIC_DEMO
2026-07-06,Rotterdam,VLSFO,513.25,SYNTHETIC_DEMO
2026-07-13,Singapore,VLSFO,516.00,SYNTHETIC_DEMO
2026-07-13,Fujairah,VLSFO,502.00,SYNTHETIC_DEMO
2026-07-13,Rotterdam,VLSFO,507.50,SYNTHETIC_DEMO
2026-07-20,Singapore,VLSFO,528.25,SYNTHETIC_DEMO
2026-07-20,Fujairah,VLSFO,514.50,SYNTHETIC_DEMO
2026-07-20,Rotterdam,VLSFO,519.00,SYNTHETIC_DEMO
2026-07-27,Singapore,VLSFO,535.50,SYNTHETIC_DEMO
2026-07-27,Fujairah,VLSFO,520.75,SYNTHETIC_DEMO
2026-07-27,Rotterdam,VLSFO,526.25,SYNTHETIC_DEMO
2026-08-03,Singapore,VLSFO,529.00,SYNTHETIC_DEMO
2026-08-03,Fujairah,VLSFO,515.00,SYNTHETIC_DEMO
2026-08-03,Rotterdam,VLSFO,520.50,SYNTHETIC_DEMO
