# SIH26006 - SYNTHETIC / DEMONSTRATION DATA - NOT REAL COMMODITY PRICES
# Fabricated CFR-style delivered commodity price levels (USD/tonne) used
# only for context on the dashboard. Not sourced from any price provider.
week_start,commodity,price_usd_per_tonne,data_class
2026-04-13,Coking Coal,224.52,SYNTHETIC_DEMO
2026-04-20,Coking Coal,219.54,SYNTHETIC_DEMO
2026-04-27,Coking Coal,225.27,SYNTHETIC_DEMO
2026-05-04,Coking Coal,218.31,SYNTHETIC_DEMO
2026-05-11,Coking Coal,216.53,SYNTHETIC_DEMO
2026-05-18,Coking Coal,209.68,SYNTHETIC_DEMO
2026-05-25,Coking Coal,203.10,SYNTHETIC_DEMO
2026-06-01,Coking Coal,197.57,SYNTHETIC_DEMO
2026-06-08,Coking Coal,196.03,SYNTHETIC_DEMO
2026-06-15,Coking Coal,195.16,SYNTHETIC_DEMO
2026-06-22,Coking Coal,201.53,SYNTHETIC_DEMO
2026-06-29,Coking Coal,207.25,SYNTHETIC_DEMO
2026-07-06,Coking Coal,204.98,SYNTHETIC_DEMO
2026-07-13,Coking Coal,210.74,SYNTHETIC_DEMO
2026-07-20,Coking Coal,218.17,SYNTHETIC_DEMO
2026-07-27,Coking Coal,212.49,SYNTHETIC_DEMO
2026-08-03,Coking Coal,208.49,SYNTHETIC_DEMO
2026-08-10,Coking Coal,213.76,SYNTHETIC_DEMO
2026-08-17,Coking Coal,210.22,SYNTHETIC_DEMO
2026-08-24,Coking Coal,190.60,SYNTHETIC_DEMO
2026-04-13,Iron Ore,99.29,SYNTHETIC_DEMO
2026-04-20,Iron Ore,101.71,SYNTHETIC_DEMO
2026-04-27,Iron Ore,97.33,SYNTHETIC_DEMO
2026-05-04,Iron Ore,98.66,SYNTHETIC_DEMO
2026-05-11,Iron Ore,98.46,SYNTHETIC_DEMO
2026-05-18,Iron Ore,103.23,SYNTHETIC_DEMO
2026-05-25,Iron Ore,105.86,SYNTHETIC_DEMO
2026-06-01,Iron Ore,108.96,SYNTHETIC_DEMO
2026-06-08,Iron Ore,109.05,SYNTHETIC_DEMO
2026-06-15,Iron Ore,108.03,SYNTHETIC_DEMO
2026-06-22,Iron Ore,110.71,SYNTHETIC_DEMO
2026-06-29,Iron Ore,113.70,SYNTHETIC_DEMO
2026-07-06,Iron Ore,107.16,SYNTHETIC_DEMO
2026-07-13,Iron Ore,105.33,SYNTHETIC_DEMO
2026-07-20,Iron Ore,107.30,SYNTHETIC_DEMO
2026-07-27,Iron Ore,106.85,SYNTHETIC_DEMO
2026-08-03,Iron Ore,107.02,SYNTHETIC_DEMO
2026-08-10,Iron Ore,104.95,SYNTHETIC_DEMO
2026-08-17,Iron Ore,109.54,SYNTHETIC_DEMO
2026-08-24,Iron Ore,108.19,SYNTHETIC_DEMO
2026-04-13,Limestone,16.94,SYNTHETIC_DEMO
2026-04-20,Limestone,16.70,SYNTHETIC_DEMO
2026-04-27,Limestone,17.26,SYNTHETIC_DEMO
2026-05-04,Limestone,17.16,SYNTHETIC_DEMO
2026-05-11,Limestone,17.21,SYNTHETIC_DEMO
2026-05-18,Limestone,17.65,SYNTHETIC_DEMO
2026-05-25,Limestone,18.00,SYNTHETIC_DEMO
2026-06-01,Limestone,17.98,SYNTHETIC_DEMO
2026-06-08,Limestone,18.14,SYNTHETIC_DEMO
2026-06-15,Limestone,18.47,SYNTHETIC_DEMO
2026-06-22,Limestone,18.33,SYNTHETIC_DEMO
2026-06-29,Limestone,17.47,SYNTHETIC_DEMO
2026-07-06,Limestone,17.43,SYNTHETIC_DEMO
2026-07-13,Limestone,17.54,SYNTHETIC_DEMO
2026-07-20,Limestone,16.84,SYNTHETIC_DEMO
2026-07-27,Limestone,17.03,SYNTHETIC_DEMO
2026-08-03,Limestone,17.37,SYNTHETIC_DEMO
2026-08-10,Limestone,17.87,SYNTHETIC_DEMO
2026-08-17,Limestone,17.25,SYNTHETIC_DEMO
2026-08-24,Limestone,17.92,SYNTHETIC_DEMO
