# SIH26006 - SYNTHETIC / DEMONSTRATION DATA - NOT REAL FREIGHT RATES
# Fabricated weekly voyage freight rates (USD/tonne) per lane in routes.csv,
# generated by a seeded random process for the prototype forecasting demo.
# They demonstrate the forecasting architecture, NOT real market accuracy.
# Do NOT use for analysis, model training, benchmarking or procurement.
week_start,route_id,origin_country,load_port,destination_port,cargo_type,freight_rate_usd_per_tonne,data_class
2026-04-13,R01,Australia,Hay Point,Paradip,Coking Coal,20.46,SYNTHETIC_DEMO
2026-04-20,R01,Australia,Hay Point,Paradip,Coking Coal,21.26,SYNTHETIC_DEMO
2026-04-27,R01,Australia,Hay Point,Paradip,Coking Coal,20.45,SYNTHETIC_DEMO
2026-05-04,R01,Australia,Hay Point,Paradip,Coking Coal,20.21,SYNTHETIC_DEMO
2026-05-11,R01,Australia,Hay Point,Paradip,Coking Coal,21.55,SYNTHETIC_DEMO
2026-05-18,R01,Australia,Hay Point,Paradip,Coking Coal,20.81,SYNTHETIC_DEMO
2026-05-25,R01,Australia,Hay Point,Paradip,Coking Coal,22.34,SYNTHETIC_DEMO
2026-06-01,R01,Australia,Hay Point,Paradip,Coking Coal,21.18,SYNTHETIC_DEMO
2026-06-08,R01,Australia,Hay Point,Paradip,Coking Coal,22.08,SYNTHETIC_DEMO
2026-06-15,R01,Australia,Hay Point,Paradip,Coking Coal,21.75,SYNTHETIC_DEMO
2026-06-22,R01,Australia,Hay Point,Paradip,Coking Coal,21.77,SYNTHETIC_DEMO
2026-06-29,R01,Australia,Hay Point,Paradip,Coking Coal,22.20,SYNTHETIC_DEMO
2026-07-06,R01,Australia,Hay Point,Paradip,Coking Coal,20.86,SYNTHETIC_DEMO
2026-07-13,R01,Australia,Hay Point,Paradip,Coking Coal,20.80,SYNTHETIC_DEMO
2026-07-20,R01,Australia,Hay Point,Paradip,Coking Coal,19.92,SYNTHETIC_DEMO
2026-07-27,R01,Australia,Hay Point,Paradip,Coking Coal,20.10,SYNTHETIC_DEMO
2026-08-03,R01,Australia,Hay Point,Paradip,Coking Coal,20.53,SYNTHETIC_DEMO
2026-08-10,R01,Australia,Hay Point,Paradip,Coking Coal,19.74,SYNTHETIC_DEMO
2026-08-17,R01,Australia,Hay Point,Paradip,Coking Coal,21.47,SYNTHETIC_DEMO
2026-08-24,R01,Australia,Hay Point,Paradip,Coking Coal,21.42,SYNTHETIC_DEMO
2026-04-13,R02,Australia,Hay Point,Visakhapatnam,Coking Coal,20.01,SYNTHETIC_DEMO
2026-04-20,R02,Australia,Hay Point,Visakhapatnam,Coking Coal,20.79,SYNTHETIC_DEMO
2026-04-27,R02,Australia,Hay Point,Visakhapatnam,Coking Coal,21.10,SYNTHETIC_DEMO
2026-05-04,R02,Australia,Hay Point,Visakhapatnam,Coking Coal,21.40,SYNTHETIC_DEMO
2026-05-11,R02,Australia,Hay Point,Visakhapatnam,Coking Coal,21.58,SYNTHETIC_DEMO
2026-05-18,R02,Australia,Hay Point,Visakhapatnam,Coking Coal,21.82,SYNTHETIC_DEMO
2026-05-25,R02,Australia,Hay Point,Visakhapatnam,Coking Coal,22.41,SYNTHETIC_DEMO
2026-06-01,R02,Australia,Hay Point,Visakhapatnam,Coking Coal,22.71,SYNTHETIC_DEMO
2026-06-08,R02,Australia,Hay Point,Visakhapatnam,Coking Coal,22.57,SYNTHETIC_DEMO
2026-06-15,R02,Australia,Hay Point,Visakhapatnam,Coking Coal,21.89,SYNTHETIC_DEMO
2026-06-22,R02,Australia,Hay Point,Visakhapatnam,Coking Coal,20.75,SYNTHETIC_DEMO
2026-06-29,R02,Australia,Hay Point,Visakhapatnam,Coking Coal,21.46,SYNTHETIC_DEMO
2026-07-06,R02,Australia,Hay Point,Visakhapatnam,Coking Coal,20.57,SYNTHETIC_DEMO
2026-07-13,R02,Australia,Hay Point,Visakhapatnam,Coking Coal,20.70,SYNTHETIC_DEMO
2026-07-20,R02,Australia,Hay Point,Visakhapatnam,Coking Coal,20.96,SYNTHETIC_DEMO
2026-07-27,R02,Australia,Hay Point,Visakhapatnam,Coking Coal,21.01,SYNTHETIC_DEMO
2026-08-03,R02,Australia,Hay Point,Visakhapatnam,Coking Coal,21.22,SYNTHETIC_DEMO
2026-08-10,R02,Australia,Hay Point,Visakhapatnam,Coking Coal,22.74,SYNTHETIC_DEMO
2026-08-17,R02,Australia,Hay Point,Visakhapatnam,Coking Coal,22.28,SYNTHETIC_DEMO
2026-08-24,R02,Australia,Hay Point,Visakhapatnam,Coking Coal,23.12,SYNTHETIC_DEMO
2026-04-13,R03,Australia,Dalrymple Bay,Gangavaram,Coking Coal,21.98,SYNTHETIC_DEMO
2026-04-20,R03,Australia,Dalrymple Bay,Gangavaram,Coking Coal,21.69,SYNTHETIC_DEMO
2026-04-27,R03,Australia,Dalrymple Bay,Gangavaram,Coking Coal,19.91,SYNTHETIC_DEMO
