# SIH26006 - SYNTHETIC / DEMONSTRATION DATA - NOT REAL MARKET INDICES
# Fabricated dry-bulk market indicator levels for the prototype.
# 'dry_bulk_index' is a BDI-style composite; the others are sub-indices.
# Not sourced from any index provider. Replace with licensed data later.
week_start,dry_bulk_index,capesize_sub_index,panamax_sub_index,sentiment,data_class
2026-04-13,1376,1967,1301,soft,SYNTHETIC_DEMO
2026-04-20,1469,2013,1296,soft,SYNTHETIC_DEMO
2026-04-27,1548,2088,1437,soft,SYNTHETIC_DEMO
2026-05-04,1499,1927,1439,firm,SYNTHETIC_DEMO
2026-05-11,1590,1897,1518,firm,SYNTHETIC_DEMO
2026-05-18,1516,1894,1532,soft,SYNTHETIC_DEMO
2026-05-25,1497,1960,1485,soft,SYNTHETIC_DEMO
2026-06-01,1506,1675,1422,soft,SYNTHETIC_DEMO
2026-06-08,1503,1826,1343,soft,SYNTHETIC_DEMO
2026-06-15,1407,1968,1320,soft,SYNTHETIC_DEMO
2026-06-22,1452,1900,1375,soft,SYNTHETIC_DEMO
2026-06-29,1455,1880,1324,soft,SYNTHETIC_DEMO
2026-07-06,1412,2004,1319,firm,SYNTHETIC_DEMO
2026-07-13,1505,2100,1291,firm,SYNTHETIC_DEMO
2026-07-20,1548,2136,1361,firm,SYNTHETIC_DEMO
2026-07-27,1563,2129,1410,firm,SYNTHETIC_DEMO
2026-08-03,1605,2151,1496,firm,SYNTHETIC_DEMO
2026-08-10,1559,2177,1416,firm,SYNTHETIC_DEMO
2026-08-17,1649,2007,1438,firm,SYNTHETIC_DEMO
2026-08-24,1568,1993,1502,soft,SYNTHETIC_DEMO
